"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 12:37:47 UTC 2025","Tue Jul 22 12:37:48 UTC 2025","1206","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createAndGetNoteById","Create and get note by ID",""
"passed","Tue Jul 22 12:34:36 UTC 2025","Tue Jul 22 12:34:46 UTC 2025","9977","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","loginWithMaxLengthUsername","Successful login with 39-character username",""
"passed","Tue Jul 22 12:34:20 UTC 2025","Tue Jul 22 12:34:26 UTC 2025","6342","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios Username longer than 39 characters",""
"passed","Tue Jul 22 12:37:53 UTC 2025","Tue Jul 22 12:37:54 UTC 2025","1060","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNoteWithEmptyBody","Update note with empty request body",""
"passed","Tue Jul 22 12:36:09 UTC 2025","Tue Jul 22 12:36:15 UTC 2025","6481","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration SQL injection attempt in username",""
"passed","Tue Jul 22 12:37:42 UTC 2025","Tue Jul 22 12:37:43 UTC 2025","1072","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithLongTitle","Create note with title longer than 100 characters",""
"passed","Tue Jul 22 12:33:08 UTC 2025","Tue Jul 22 12:33:13 UTC 2025","4750","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases Special characters",""
"passed","Tue Jul 22 12:37:57 UTC 2025","Tue Jul 22 12:37:58 UTC 2025","641","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithEmptyBody","Register with empty request body",""
"passed","Tue Jul 22 12:32:49 UTC 2025","Tue Jul 22 12:32:53 UTC 2025","4712","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Negative Forgot Password test cases Numeric-only input",""
"passed","Tue Jul 22 12:37:44 UTC 2025","Tue Jul 22 12:37:45 UTC 2025","1032","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNotes","Create note",""
"passed","Tue Jul 22 12:37:43 UTC 2025","Tue Jul 22 12:37:44 UTC 2025","982","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithEmptyTitle","Create note with empty title",""
"passed","Tue Jul 22 12:34:01 UTC 2025","Tue Jul 22 12:34:07 UTC 2025","6354","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios XSS attempt in username",""
"passed","Tue Jul 22 12:35:17 UTC 2025","Tue Jul 22 12:35:23 UTC 2025","6385","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Empty username",""
"passed","Tue Jul 22 12:37:55 UTC 2025","Tue Jul 22 12:37:56 UTC 2025","881","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","deleteTestAccount","Delete test account",""
"passed","Tue Jul 22 12:36:28 UTC 2025","Tue Jul 22 12:36:34 UTC 2025","6320","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Validation errors during registration Username starts with space",""
"passed","Tue Jul 22 12:33:41 UTC 2025","Tue Jul 22 12:33:48 UTC 2025","6454","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Negative login scenarios Non-existent user",""
"passed","Tue Jul 22 12:37:59 UTC 2025","Tue Jul 22 12:38:00 UTC 2025","655","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithEmptyEmail","Register with empty email",""
"passed","Tue Jul 22 12:37:52 UTC 2025","Tue Jul 22 12:37:53 UTC 2025","1174","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","deleteNote","Delete note by ID",""
"passed","Tue Jul 22 12:37:55 UTC 2025","Tue Jul 22 12:37:55 UTC 2025","722","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithEmptyBody","Login with empty request body",""
