"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Аутентификация","Регистрация","Граничный username — минимум","0","0","2","0","0"
"Аутентификация","Регистрация","Негативные кейсы","0","0","34","0","0"
"Аутентификация","Восстановление пароля","Негативная валидация email","0","0","28","0","0"
"Аутентификация","Логин","Негативный логин","0","0","20","0","0"
"","","","32","0","36","0","0"
"Аутентификация","Восстановление пароля","Отправка запроса через Tab + Space","0","0","2","0","0"
"Аутентификация","Логин","Позитивный логин: максимальная длина","0","0","2","0","0"
"Аутентификация","Восстановление пароля","Отправка запроса через Enter","0","0","2","0","0"
"Аутентификация","Регистрация","Обычный username","0","0","2","0","0"
"Аутентификация","Регистрация","Граничный username — максимум","0","0","2","0","0"
"Аутентификация","Восстановление пароля","Отправка запроса через кнопку","0","0","2","0","0"
"Аутентификация","Регистрация","Регистрация с повторным username","0","0","2","0","0"
"Аутентификация","Логин","Позитивный логин: 3 символа","0","0","2","0","0"
"Аутентификация","Логин","Выход из системы","0","0","2","0","0"
"Аутентификация","Логин","Позитивный логин: обычный username","0","0","2","0","0"
