"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 15:42:25 MSK 2025","Sat Jul 19 15:42:35 MSK 2025","9906","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","registerWithThreeCharUsername","Регистрация с username из 3 символов",""
"passed","Sat Jul 19 15:46:50 MSK 2025","Sat Jul 19 15:46:56 MSK 2025","6193","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Пароль короче 4 символов",""
"passed","Sat Jul 19 15:50:39 MSK 2025","Sat Jul 19 15:50:46 MSK 2025","6706","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password SQL DROP",""
"passed","Sat Jul 19 15:48:56 MSK 2025","Sat Jul 19 15:49:03 MSK 2025","6277","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Username с пробелом",""
"passed","Sat Jul 19 15:47:03 MSK 2025","Sat Jul 19 15:47:09 MSK 2025","6215","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации XSS в username",""
"passed","Sat Jul 19 15:41:15 MSK 2025","Sat Jul 19 15:41:22 MSK 2025","6432","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Username с пробелом",""
"passed","Sat Jul 19 15:51:46 MSK 2025","Sat Jul 19 15:51:48 MSK 2025","1443","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","logoutSystem","Выходим из системы",""
"passed","Sat Jul 19 15:38:08 MSK 2025","Sat Jul 19 15:38:25 MSK 2025","16871","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","sendingResetPasswordByTabSpace","Сброс пароля через Tab → Space",""
"passed","Sat Jul 19 15:43:39 MSK 2025","Sat Jul 19 15:43:50 MSK 2025","10593","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Username со спецсимволами",""
"passed","Sat Jul 19 15:45:35 MSK 2025","Sat Jul 19 15:45:36 MSK 2025","1304","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithShortPassword","Регистрация с коротким паролем",""
"failed","Sat Jul 19 15:51:35 MSK 2025","Sat Jul 19 15:51:36 MSK 2025","568","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","deleteNote","Удаление заметки по Id",""
"passed","Sat Jul 19 15:51:53 MSK 2025","Sat Jul 19 15:51:55 MSK 2025","1243","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithEmptyBody","Регистрация без тела запроса",""
"passed","Sat Jul 19 15:45:31 MSK 2025","Sat Jul 19 15:45:32 MSK 2025","1405","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithInvalidContentType","Логин с некорректным Content-Type",""
"passed","Sat Jul 19 15:48:25 MSK 2025","Sat Jul 19 15:48:31 MSK 2025","6303","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Пустой Password",""
"passed","Sat Jul 19 15:41:02 MSK 2025","Sat Jul 19 15:41:09 MSK 2025","6605","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина SQL-инъекция в пароль",""
"passed","Sat Jul 19 15:39:32 MSK 2025","Sat Jul 19 15:39:38 MSK 2025","5115","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password Двойной @",""
"passed","Sat Jul 19 15:50:17 MSK 2025","Sat Jul 19 15:50:24 MSK 2025","6895","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password XSS img",""
