"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 01 14:07:55 UTC 2025","Fri Aug 01 14:07:56 UTC 2025","625","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithEmptyBody","Login with empty request body",""
"passed","Fri Aug 01 14:08:05 UTC 2025","Fri Aug 01 14:08:06 UTC 2025","767","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithShortPassword","Register with short password",""
"passed","Fri Aug 01 14:07:57 UTC 2025","Fri Aug 01 14:07:58 UTC 2025","672","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithUnregisteredEmail","Login with unregistered email",""
"passed","Fri Aug 01 14:08:03 UTC 2025","Fri Aug 01 14:08:05 UTC 2025","2736","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","resetPassword_withMockToken_shouldReturnResponse","Password reset works with mock token (simulation)",""
"passed","Fri Aug 01 14:07:35 UTC 2025","Fri Aug 01 14:07:40 UTC 2025","4895","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","checkApiServerHealth","Check API server health",""
"passed","Fri Aug 01 14:08:01 UTC 2025","Fri Aug 01 14:08:02 UTC 2025","1032","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","changePassword","Change password",""
"passed","Fri Aug 01 14:07:45 UTC 2025","Fri Aug 01 14:07:46 UTC 2025","812","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithEmptyTitle","Create note with empty title",""
"passed","Fri Aug 01 14:07:44 UTC 2025","Fri Aug 01 14:07:45 UTC 2025","828","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithLongTitle","Create note with title longer than 100 characters",""
"passed","Fri Aug 01 14:07:52 UTC 2025","Fri Aug 01 14:07:53 UTC 2025","813","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithShortTitle","Create note with title shorter than 4 characters",""
"passed","Fri Aug 01 14:07:59 UTC 2025","Fri Aug 01 14:08:00 UTC 2025","642","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","checkApiServerHealth","Check API server health",""
"passed","Fri Aug 01 14:07:58 UTC 2025","Fri Aug 01 14:07:59 UTC 2025","703","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithInvalidContentType","Login with incorrect Content-Type",""
"passed","Fri Aug 01 14:07:55 UTC 2025","Fri Aug 01 14:07:55 UTC 2025","688","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithWrongPassword","Login with incorrect password",""
"passed","Fri Aug 01 14:07:50 UTC 2025","Fri Aug 01 14:07:51 UTC 2025","859","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","retrieveListOfNotes","Retrieve all notes",""
"passed","Fri Aug 01 14:08:07 UTC 2025","Fri Aug 01 14:08:08 UTC 2025","688","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithInvalidEmail","Register with invalid email",""
"passed","Fri Aug 01 14:07:48 UTC 2025","Fri Aug 01 14:07:49 UTC 2025","1084","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createAndGetNoteById","Create and get note by ID",""
"passed","Fri Aug 01 14:08:06 UTC 2025","Fri Aug 01 14:08:07 UTC 2025","813","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","logoutSystem","Logout from system",""
"passed","Fri Aug 01 14:07:46 UTC 2025","Fri Aug 01 14:07:47 UTC 2025","939","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNotes","Create note",""
"passed","Fri Aug 01 14:07:47 UTC 2025","Fri Aug 01 14:07:48 UTC 2025","1110","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNote","Update note by ID",""
"passed","Fri Aug 01 14:08:02 UTC 2025","Fri Aug 01 14:08:03 UTC 2025","673","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithDuplicateEmail","Register with duplicate email",""
"passed","Fri Aug 01 14:07:56 UTC 2025","Fri Aug 01 14:07:57 UTC 2025","813","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","deleteTestAccount","Delete test account",""
"passed","Fri Aug 01 14:07:43 UTC 2025","Fri Aug 01 14:07:44 UTC 2025","862","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","deleteNoteOfAnotherUser","Delete note owned by another user",""
"passed","Fri Aug 01 14:07:43 UTC 2025","Fri Aug 01 14:07:43 UTC 2025","814","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithoutToken","Create note without token",""
"passed","Fri Aug 01 14:07:49 UTC 2025","Fri Aug 01 14:07:50 UTC 2025","798","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithInvalidCategory","Create note with unknown category",""
"passed","Fri Aug 01 14:08:09 UTC 2025","Fri Aug 01 14:08:15 UTC 2025","5118","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","resetPasswordViaValidEmail","Reset password using valid email",""
"passed","Fri Aug 01 14:08:09 UTC 2025","Fri Aug 01 14:08:09 UTC 2025","720","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","getProfile_shouldReturnCorrectData","Profile returns correct data for authorized user",""
